rank,band,participant_id,tier,submission,rmse,mae,bias,shape,cluster_ari,gap_vs_lead,n_days,filename
1,1,50,T1,0,0.621,0.479,-0.262,0.563,1.0,,76,Results_50_T1_0.csv
2,1,50,T2,0,0.672,0.452,0.001,0.672,1.0,0.13,76,Results_50_T2_0.csv
3,1,50,T3,1,0.703,0.467,0.017,0.703,1.0,0.161,76,Results_50_T3_1.csv
4,2,33,T0,0,1.058,0.943,0.015,1.058,1.0,,76,Results_33_T0_0.csv
5,2,50,T3,0,1.172,0.76,0.405,1.1,1.0,0.363,76,Results_50_T3_0.csv
6,2,33,T3,1,1.576,1.491,-0.879,1.308,1.0,0.903,76,Results_33_T3_1.csv
7,3,50,T1,1,2.642,2.531,2.531,0.761,1.0,,76,Results_50_T1_1.csv
8,3,50,T0,0,3.924,3.619,-3.119,2.381,0.844,1.428,76,Results_50_T0_0.csv
9,3,22,T3,1,4.916,4.132,1.07,4.798,0.602,2.928,76,Results_22_T3_1.csv
10,3,30,T0,1,4.345,3.678,0.859,4.259,0.426,2.422,76,Results_30_T0_1.csv
11,3,22,T3,0,4.574,3.374,1.637,4.271,-0.019,3.249,76,Results_22_T3_0.csv
12,4,22,T0,1,4.92,4.784,-0.661,4.876,0.602,,76,Results_22_T0_1.csv
13,4,22,T0,0,5.344,3.803,2.175,4.881,0.602,3.218,76,Results_22_T0_0.csv
14,4,0,T0,0,4.996,4.023,1.389,4.798,0.0,2.314,76,Results_0_T0_0.csv
15,4,33,T3,0,5.282,5.253,-2.207,4.798,0.0,1.837,76,Results_33_T3_0.csv
16,4,30,T0,0,6.269,4.034,4.034,4.798,0.0,4.577,76,Results_30_T0_0.csv
